Category,Resume
Java Developer,"Passionate about Java Developer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Git and J2EE. Implemented solutions that improved efficiency by 20%. Skills: Git, J2EE, Agile, Hibernate, SQL, Maven, REST API. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. B.S. in relevant field. Worked on various projects involving Agile and Scrum. Implemented solutions that improved efficiency by 20%. Skills: Agile, Scrum, Data Analysis, Stakeholder Management, Jira, Business Analysis, SQL, Communication. "
Data Science,"Dedicated Data Science specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Scikit-learn and Keras. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Keras, Tableau, Pandas, Data Science, NumPy, TensorFlow. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving API Testing and Selenium. Implemented solutions that improved efficiency by 20%. Skills: API Testing, Selenium, Automation Testing, TestNG, Jira, Manual Testing. "
Data Science,"Dedicated Data Science specialist with strong background. B.S. in relevant field. Worked on various projects involving Scikit-learn and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Data Science, Pandas, SQL, NumPy, Machine Learning, Python. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Web Development and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: Web Development, Responsive Design, JavaScript, HTML, Adobe XD, UI/UX, Figma. "
Web Designing,"Experienced professional with a proven track record in Web Designing. B.Tech in Information Technology. Worked on various projects involving HTML and React. Implemented solutions that improved efficiency by 20%. Skills: HTML, React, UI/UX, Bootstrap, CSS, Web Development. "
Python Developer,"Dedicated Python Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Python and Flask. Implemented solutions that improved efficiency by 20%. Skills: Python, Flask, Django, Redis, Unit Testing, PostgreSQL, AWS, Linux. "
Data Science,"Passionate about Data Science and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Keras and Tableau. Implemented solutions that improved efficiency by 20%. Skills: Keras, Tableau, Data Analysis, Machine Learning, Pandas, TensorFlow, Scikit-learn. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Bachelor's degree in Computer Science. Worked on various projects involving BERT and Deep Learning. Implemented solutions that improved efficiency by 20%. Skills: BERT, Deep Learning, Text Classification, Transformers, Natural Language Processing, NLP, Word2Vec, NLTK. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Communication and Excel. Implemented solutions that improved efficiency by 20%. Skills: Communication, Excel, Scrum, Stakeholder Management, UML, SQL, Requirement Gathering. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Python and Word2Vec. Implemented solutions that improved efficiency by 20%. Skills: Python, Word2Vec, LLMs, Natural Language Processing, NLTK. "
HR,"Results-oriented HR looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Human Resources and Onboarding. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Onboarding, Payroll, Sourcing, Communication, Talent Acquisition, Interviewing. "
HR,"Passionate about HR and building scalable solutions. B.S. in relevant field. Worked on various projects involving Employee Relations and Onboarding. Implemented solutions that improved efficiency by 20%. Skills: Employee Relations, Onboarding, Sourcing, Talent Acquisition, Payroll. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. Master's degree in Engineering. Worked on various projects involving Business Analysis and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: Business Analysis, Requirement Gathering, SQL, Agile, PowerBI, UML, Jira. "
Java Developer,"Passionate about Java Developer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Tomcat and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: Tomcat, Hibernate, Agile, SQL, Java, REST API. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Hibernate and Git. Implemented solutions that improved efficiency by 20%. Skills: Hibernate, Git, J2EE, Java, Maven, Junit, Tomcat, Spring Boot. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving SolidWorks and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, Mechanical Engineering, Project Management, Engineering, ANSYS, AutoCAD, Manufacturing. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Microservices and Git. Implemented solutions that improved efficiency by 20%. Skills: Microservices, Git, Tomcat, Maven, Spring Boot, Java, Hibernate, Agile. "
NLP Engineer,"Results-oriented NLP Engineer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving NLTK and Deep Learning. Implemented solutions that improved efficiency by 20%. Skills: NLTK, Deep Learning, spaCy, LLMs, Transformers. "
HR,"Results-oriented HR looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Recruitment and Employee Relations. Implemented solutions that improved efficiency by 20%. Skills: Recruitment, Employee Relations, HR Policies, Human Resources, Onboarding, Sourcing, Payroll. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Junit and SQL. Implemented solutions that improved efficiency by 20%. Skills: Junit, SQL, Spring Boot, J2EE, Maven, REST API, Tomcat, Git. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. Bachelor's degree in Computer Science. Worked on various projects involving UML and Communication. Implemented solutions that improved efficiency by 20%. Skills: UML, Communication, Scrum, Agile, Jira, PowerBI. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving AutoCAD and Manufacturing. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, Manufacturing, Engineering, Design, CAD. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. MBA in Human Resources. Worked on various projects involving UML and SQL. Implemented solutions that improved efficiency by 20%. Skills: UML, SQL, Business Analysis, Data Analysis, Communication, Scrum. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Figma and Web Development. Implemented solutions that improved efficiency by 20%. Skills: Figma, Web Development, Responsive Design, Angular, CSS, Adobe XD. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving AutoCAD and Project Management. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, Project Management, ANSYS, CAD, Product Design, Manufacturing, Mechanical Engineering, SolidWorks. "
HR,"Results-oriented HR looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Communication and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Communication, Recruitment, Human Resources, Interviewing, Employee Relations, Payroll, Talent Acquisition, HR Policies. "
Data Science,"Passionate about Data Science and building scalable solutions. Master's degree in Engineering. Worked on various projects involving TensorFlow and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, Data Analysis, NumPy, Keras, Pandas, Tableau, Statistics. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Keras and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Keras, Pandas, Scikit-learn, Python, Statistics, Data Science, SQL, Data Analysis. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Data Analysis and Agile. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Agile, Requirement Gathering, Scrum, SQL, PowerBI, Stakeholder Management. "
Java Developer,"Experienced professional with a proven track record in Java Developer. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Junit. Implemented solutions that improved efficiency by 20%. Skills: REST API, Junit, Microservices, J2EE, Tomcat, Git, Spring Boot. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving AWS and Django. Implemented solutions that improved efficiency by 20%. Skills: AWS, Django, Docker, PostgreSQL, Python, REST API, Git, Flask. "
Testing,"Highly skilled Testing with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Java and Agile. Implemented solutions that improved efficiency by 20%. Skills: Java, Agile, API Testing, Postman, Bug Tracking. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Machine Learning and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Machine Learning, Data Science, Statistics, Keras, NumPy, TensorFlow. "
HR,"Experienced professional with a proven track record in HR. MBA in Human Resources. Worked on various projects involving Sourcing and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, HR Policies, Communication, Onboarding, Employee Relations, Human Resources, Interviewing. "
Python Developer,"Passionate about Python Developer and building scalable solutions. MBA in Human Resources. Worked on various projects involving AWS and PostgreSQL. Implemented solutions that improved efficiency by 20%. Skills: AWS, PostgreSQL, Git, Django, FastAPI, Unit Testing. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving FastAPI and Unit Testing. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Unit Testing, Git, Flask, Linux. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Jenkins and Kubernetes. Implemented solutions that improved efficiency by 20%. Skills: Jenkins, Kubernetes, Monitoring, AWS, Linux, Git, Prometheus, Ansible. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Angular and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: Angular, Bootstrap, HTML, Figma, Adobe XD, React. "
HR,"Passionate about HR and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Interviewing and Talent Acquisition. Implemented solutions that improved efficiency by 20%. Skills: Interviewing, Talent Acquisition, Employee Relations, Recruitment, HR Policies, Onboarding, Payroll, Sourcing. "
Data Science,"Passionate about Data Science and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Machine Learning and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Machine Learning, Pandas, SQL, NumPy, Scikit-learn, Data Science, Keras. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving REST API and Microservices. Implemented solutions that improved efficiency by 20%. Skills: REST API, Microservices, J2EE, Java, Maven. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving REST API and AWS. Implemented solutions that improved efficiency by 20%. Skills: REST API, AWS, Python, Flask, Linux, Unit Testing. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Engineering and Design. Implemented solutions that improved efficiency by 20%. Skills: Engineering, Design, CAD, Manufacturing, Product Design. "
Python Developer,"Passionate about Python Developer and building scalable solutions. B.S. in relevant field. Worked on various projects involving REST API and Flask. Implemented solutions that improved efficiency by 20%. Skills: REST API, Flask, Linux, FastAPI, Redis, Docker, PostgreSQL. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. Master's degree in Engineering. Worked on various projects involving Scrum and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Scrum, Data Analysis, PowerBI, Business Analysis, Agile, Excel. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Ansible and Jenkins. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Jenkins, Terraform, Bash, Git, Monitoring, CI/CD. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Python and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Python, Machine Learning, Pandas, Statistics, TensorFlow. "
Testing,"Results-oriented Testing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Cucumber and Python. Implemented solutions that improved efficiency by 20%. Skills: Cucumber, Python, Postman, Jira, Automation Testing, Manual Testing, Bug Tracking. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving UML and Agile. Implemented solutions that improved efficiency by 20%. Skills: UML, Agile, PowerBI, Business Analysis, Excel. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Docker and Python. Implemented solutions that improved efficiency by 20%. Skills: Docker, Python, Django, REST API, Git, AWS. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Bug Tracking and Agile. Implemented solutions that improved efficiency by 20%. Skills: Bug Tracking, Agile, Cucumber, Python, Manual Testing, Java. "
DevOps,"Dedicated DevOps specialist with strong background. Master's degree in Engineering. Worked on various projects involving CI/CD and Monitoring. Implemented solutions that improved efficiency by 20%. Skills: CI/CD, Monitoring, Linux, Kubernetes, Git, Docker, Terraform, AWS. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Prometheus and Monitoring. Implemented solutions that improved efficiency by 20%. Skills: Prometheus, Monitoring, CI/CD, AWS, Docker, Git. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Python and Tableau. Implemented solutions that improved efficiency by 20%. Skills: Python, Tableau, SQL, Data Science, Statistics. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Excel and Business Analysis. Implemented solutions that improved efficiency by 20%. Skills: Excel, Business Analysis, PowerBI, Agile, SQL, Stakeholder Management. "
Data Science,"Passionate about Data Science and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Scikit-learn and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Pandas, SQL, TensorFlow, Tableau, Data Science, Machine Learning, Data Analysis. "
Testing,"Passionate about Testing and building scalable solutions. B.S. in relevant field. Worked on various projects involving Postman and Automation Testing. Implemented solutions that improved efficiency by 20%. Skills: Postman, Automation Testing, Jira, Python, Java, Manual Testing. "
Python Developer,"Dedicated Python Developer specialist with strong background. B.S. in relevant field. Worked on various projects involving Python and Django. Implemented solutions that improved efficiency by 20%. Skills: Python, Django, PostgreSQL, Unit Testing, REST API. "
DevOps,"Experienced professional with a proven track record in DevOps. Bachelor's degree in Computer Science. Worked on various projects involving Jenkins and Bash. Implemented solutions that improved efficiency by 20%. Skills: Jenkins, Bash, Prometheus, AWS, Kubernetes. "
Python Developer,"Experienced professional with a proven track record in Python Developer. MBA in Human Resources. Worked on various projects involving Redis and Unit Testing. Implemented solutions that improved efficiency by 20%. Skills: Redis, Unit Testing, Git, AWS, Linux, FastAPI. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. B.S. in relevant field. Worked on various projects involving Design and Project Management. Implemented solutions that improved efficiency by 20%. Skills: Design, Project Management, Matlab, Manufacturing, Engineering, CAD, AutoCAD, Mechanical Engineering. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving J2EE and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: J2EE, Hibernate, Spring Boot, Agile, SQL, Maven, REST API, Java. "
Testing,"Passionate about Testing and building scalable solutions. B.S. in relevant field. Worked on various projects involving Python and Selenium. Implemented solutions that improved efficiency by 20%. Skills: Python, Selenium, Java, Agile, Manual Testing. "
Testing,"Passionate about Testing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Agile and TestNG. Implemented solutions that improved efficiency by 20%. Skills: Agile, TestNG, Automation Testing, Postman, Jira. "
Python Developer,"Dedicated Python Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving PostgreSQL and Python. Implemented solutions that improved efficiency by 20%. Skills: PostgreSQL, Python, Unit Testing, Django, REST API. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving REST API and Django. Implemented solutions that improved efficiency by 20%. Skills: REST API, Django, Redis, Git, Flask, Linux. "
Java Developer,"Experienced professional with a proven track record in Java Developer. MBA in Human Resources. Worked on various projects involving Junit and REST API. Implemented solutions that improved efficiency by 20%. Skills: Junit, REST API, J2EE, Agile, Hibernate, Microservices, Spring Boot. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving HTML and Adobe XD. Implemented solutions that improved efficiency by 20%. Skills: HTML, Adobe XD, Figma, Web Development, Responsive Design. "
HR,"Results-oriented HR looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Human Resources and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Recruitment, Employee Relations, Sourcing, Communication. "
HR,"Results-oriented HR looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Onboarding and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Onboarding, HR Policies, Payroll, Communication, Recruitment, Employee Relations. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving J2EE and REST API. Implemented solutions that improved efficiency by 20%. Skills: J2EE, REST API, Agile, Maven, Tomcat, SQL, Git. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Requirement Gathering and Jira. Implemented solutions that improved efficiency by 20%. Skills: Requirement Gathering, Jira, Communication, Stakeholder Management, UML. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Python and TensorFlow. Implemented solutions that improved efficiency by 20%. Skills: Python, TensorFlow, Keras, Machine Learning, Statistics, Scikit-learn. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving REST API and Python. Implemented solutions that improved efficiency by 20%. Skills: REST API, Python, FastAPI, Git, Django, Docker. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Terraform and Linux. Implemented solutions that improved efficiency by 20%. Skills: Terraform, Linux, AWS, Prometheus, Git, Docker. "
Web Designing,"Dedicated Web Designing specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Adobe XD and HTML. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, HTML, Web Development, React, Angular, CSS, UI/UX, JavaScript. "
Data Science,"Experienced professional with a proven track record in Data Science. Bachelor's degree in Computer Science. Worked on various projects involving Scikit-learn and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Data Science, SQL, Data Analysis, TensorFlow, Pandas, Tableau, NumPy. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Transformers and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: Transformers, Natural Language Processing, spaCy, Deep Learning, BERT, LLMs, NLP, NLTK. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.S. in relevant field. Worked on various projects involving Agile and SQL. Implemented solutions that improved efficiency by 20%. Skills: Agile, SQL, Jira, Business Analysis, Requirement Gathering, Excel. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. MBA in Human Resources. Worked on various projects involving SQL and Business Analysis. Implemented solutions that improved efficiency by 20%. Skills: SQL, Business Analysis, UML, Jira, Requirement Gathering. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Bachelor's degree in Computer Science. Worked on various projects involving Word2Vec and Text Classification. Implemented solutions that improved efficiency by 20%. Skills: Word2Vec, Text Classification, NLP, BERT, Natural Language Processing, Deep Learning, NLTK. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Python and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Python, Machine Learning, Scikit-learn, Data Analysis, Tableau, Keras. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. Master's degree in Engineering. Worked on various projects involving spaCy and PyTorch. Implemented solutions that improved efficiency by 20%. Skills: spaCy, PyTorch, Text Classification, BERT, Deep Learning, Transformers, Natural Language Processing. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Business Analysis and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Business Analysis, Data Analysis, Stakeholder Management, Communication, PowerBI, Excel, UML, Agile. "
HR,"Results-oriented HR looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Human Resources and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Recruitment, Talent Acquisition, Payroll, Employee Relations, HR Policies. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.S. in relevant field. Worked on various projects involving UML and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: UML, Requirement Gathering, PowerBI, Communication, Data Analysis, Jira, Agile, Scrum. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Python and NumPy. Implemented solutions that improved efficiency by 20%. Skills: Python, NumPy, SQL, TensorFlow, Scikit-learn. "
DevOps,"Dedicated DevOps specialist with strong background. B.S. in relevant field. Worked on various projects involving Terraform and Kubernetes. Implemented solutions that improved efficiency by 20%. Skills: Terraform, Kubernetes, Jenkins, Docker, Ansible, Bash, Git. "
Java Developer,"Passionate about Java Developer and building scalable solutions. B.S. in relevant field. Worked on various projects involving J2EE and Spring Boot. Implemented solutions that improved efficiency by 20%. Skills: J2EE, Spring Boot, Agile, Junit, REST API, SQL, Git, Java. "
Web Designing,"Dedicated Web Designing specialist with strong background. Master's degree in Engineering. Worked on various projects involving Bootstrap and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: Bootstrap, Responsive Design, JavaScript, Figma, React. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving FastAPI and Unit Testing. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Unit Testing, Python, Linux, Flask, Django, Git. "
Web Designing,"Dedicated Web Designing specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Adobe XD and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, Bootstrap, Responsive Design, Figma, JavaScript, HTML. "
Python Developer,"Experienced professional with a proven track record in Python Developer. B.S. in relevant field. Worked on various projects involving Docker and Redis. Implemented solutions that improved efficiency by 20%. Skills: Docker, Redis, Git, Django, Flask, Python, AWS, Unit Testing. "
Data Science,"Experienced professional with a proven track record in Data Science. MBA in Human Resources. Worked on various projects involving Machine Learning and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Machine Learning, Pandas, Python, Tableau, Scikit-learn. "
Python Developer,"Dedicated Python Developer specialist with strong background. MBA in Human Resources. Worked on various projects involving PostgreSQL and Django. Implemented solutions that improved efficiency by 20%. Skills: PostgreSQL, Django, Flask, Unit Testing, FastAPI. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Agile and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: Agile, Requirement Gathering, SQL, Excel, Scrum. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving CAD and SolidWorks. Implemented solutions that improved efficiency by 20%. Skills: CAD, SolidWorks, Manufacturing, Mechanical Engineering, Matlab, Project Management. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. Bachelor's degree in Computer Science. Worked on various projects involving Stakeholder Management and SQL. Implemented solutions that improved efficiency by 20%. Skills: Stakeholder Management, SQL, Excel, Agile, Scrum, Data Analysis. "
Data Science,"Passionate about Data Science and building scalable solutions. MBA in Human Resources. Worked on various projects involving Scikit-learn and Tableau. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Tableau, Data Science, Machine Learning, TensorFlow, Statistics, Data Analysis, NumPy. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.S. in relevant field. Worked on various projects involving ANSYS and Engineering. Implemented solutions that improved efficiency by 20%. Skills: ANSYS, Engineering, Mechanical Engineering, Product Design, Project Management, Matlab. "
Data Science,"Dedicated Data Science specialist with strong background. B.S. in relevant field. Worked on various projects involving Keras and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Keras, Machine Learning, Pandas, Data Analysis, NumPy, Statistics. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving NumPy and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: NumPy, Data Analysis, Machine Learning, Statistics, TensorFlow, Tableau, Pandas, SQL. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving SolidWorks and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, Mechanical Engineering, AutoCAD, Matlab, Product Design, Design. "
HR,"Dedicated HR specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Communication and Onboarding. Implemented solutions that improved efficiency by 20%. Skills: Communication, Onboarding, Sourcing, HR Policies, Interviewing, Recruitment, Talent Acquisition, Employee Relations. "
Python Developer,"Experienced professional with a proven track record in Python Developer. MBA in Human Resources. Worked on various projects involving Docker and PostgreSQL. Implemented solutions that improved efficiency by 20%. Skills: Docker, PostgreSQL, Flask, AWS, Python. "
Data Science,"Passionate about Data Science and building scalable solutions. MBA in Human Resources. Worked on various projects involving Data Analysis and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Pandas, Statistics, Data Science, Keras, TensorFlow, Scikit-learn, Python. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Communication and UML. Implemented solutions that improved efficiency by 20%. Skills: Communication, UML, Scrum, Data Analysis, Requirement Gathering, Jira, Excel. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. MBA in Human Resources. Worked on various projects involving Stakeholder Management and Excel. Implemented solutions that improved efficiency by 20%. Skills: Stakeholder Management, Excel, PowerBI, Data Analysis, Scrum. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving LLMs and spaCy. Implemented solutions that improved efficiency by 20%. Skills: LLMs, spaCy, Transformers, Word2Vec, Python, Deep Learning, PyTorch, BERT. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Mechanical Engineering and Design. Implemented solutions that improved efficiency by 20%. Skills: Mechanical Engineering, Design, SolidWorks, ANSYS, Engineering, CAD, Product Design. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving REST API and Hibernate. Implemented solutions that improved efficiency by 20%. Skills: REST API, Hibernate, SQL, J2EE, Junit, Java. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Python and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: Python, Natural Language Processing, LLMs, Text Classification, BERT, spaCy. "
Python Developer,"Experienced professional with a proven track record in Python Developer. B.S. in relevant field. Worked on various projects involving Git and Redis. Implemented solutions that improved efficiency by 20%. Skills: Git, Redis, Python, REST API, PostgreSQL. "
HR,"Passionate about HR and building scalable solutions. MBA in Human Resources. Worked on various projects involving HR Policies and Human Resources. Implemented solutions that improved efficiency by 20%. Skills: HR Policies, Human Resources, Employee Relations, Sourcing, Payroll, Interviewing, Communication, Talent Acquisition. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving SolidWorks and AutoCAD. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, AutoCAD, ANSYS, Engineering, Product Design. "
Testing,"Dedicated Testing specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Python and Postman. Implemented solutions that improved efficiency by 20%. Skills: Python, Postman, Automation Testing, Java, API Testing, Jira. "
HR,"Passionate about HR and building scalable solutions. MBA in Human Resources. Worked on various projects involving Onboarding and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Onboarding, Recruitment, Sourcing, Talent Acquisition, Employee Relations. "
